record_id,title,year,stage,decision,criteria_codes,rationale,date
CAND-0028,Shopping around the internet today and tomorrow: towards the millennium of cybermedicine,1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0029,Survey on the nursing researchers' need of the development and service of nursing research articles database using internet e-mail in Korea,1999,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0030,THE ADR REPLICATION MANAGER,1999,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0031,The Metagalactic Ionizing Radiation Field at Low Redshift,1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0032,Voluntary Service Overseas,1999,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0033,Abstracts,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0034,Alcohol education for general practitioners in the United Kingdom - a window of opportunity?,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0035,Alien Species Alert: Rapana venosa (veined whelk) Prepared by the Working Group on Introductions and Transfers of Marine Organisms,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0036,An Evaluation of a Shared Care Diabetes Project,2000,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0037,An exploratory study to improve the predictive capacity of the crop growth monitoring system as applied by the European Commission,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0038,A SURVEY OF PARTITION SCHEMES AND RELEVANT ALGORITHMS IN OBJECT ORIENTED DATABASE SYSTEMS,2000,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='survey')",2026-07-05
CAND-0039,Breed preferences and breeding practices in smallholder dairy systems of the central highlands of Kenya,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0040,Building Knowledge Scouts Using KGL Metalanguage,2000,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='survey')",2026-07-05
CAND-0041,Comparison of results of hypertension epidemiology between recruits and veterans served in Xinjiang,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0042,Developing a framework for a useable and useful inventory of Computer-facilitated learning and support materials in Australian universities,2000,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0043,Disseminating Information but Protecting Confidentiality,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0044,Distributed Database Design for Mobile Geographical Applications,2000,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0045,Distributed Databases for the development of Mechanisms Topology,2000,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0046,DOES ECONOMIC GROWTH REDUCE POVERTY?,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0047,EUROPE ' S SINGLE UNIFIED MARKET-1992-A SPUR TO THE DEVELOPMENT OF ELECTRONIC DATA INTERCHANGE ?,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0048,Externally Bonded FRP for Service-Life Extension of RC Infrastructure,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0049,Findings from the Addressing Tobacco in Managed Care focus groups: an executive summary,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0050,Flexible Transaction Dependencies in Database Systems,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0051,Format Description of the HFA ’ s proposed methodology,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0052,"INTEGRATED ANALYSIS OF CHANGES IN RICE CROPPING SYSTEMS IN THE MEKONG RIVER DELTA, VIETNAM, BY USING REMOTE SENSING, GIS AND HYDRAULIC MODELING",2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0053,Integrating Information and Knowledge with Software Agents,2000,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='overview')",2026-07-05
CAND-0054,"Interactions of Warfarin with Garlic, Ginger, Ginkgo, or Ginseng: Nature of the Evidence",2000,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0055,"J-STORE, JST Science and Technology Research Result Database for Enterprise Development. Service of technology seed database and technology transfer database.",2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0056,Locating and Recognizing Text in WWW Images,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0057,Magyarországi cég- és címadatbázisok,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0058,New BRE service,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0059,On recovery and consistency preservation in distributed real-time database systems,2000,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='survey')",2026-07-05
CAND-0060,Performance modeling of distributed and replicated databases,2000,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0061,Pipe failure probability—the Thomas paper revisited,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0062,Ready-Reference Resources and E-Mail Reference on Academic ARL Web Sites.,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0063,"Revolutionizing how we generate new knowledge: a challenge for librarians, health professionals, service users and researchers",2000,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0064,Secure Concurrency Control in Firm Real-Time Database Systems,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0065,Short report: medical informatics. How do family medicine educators at McMaster University use it and teach it?,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0066,The mandatory collection of data on ethnic group of inpatients: experience of NHS trusts in England in the first reporting years.,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0067,The MOA Project Data Reduction Pipeline and Database,2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0068,The state of the art in distributed query processing,2000,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='state of the art')",2026-07-05
CAND-0069,To mediate or not: it depends on the medium,2000,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0070,Web Mining Research: A Survey,2000,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0071,"What is Success? Evaluating S''COOL, an Educational Outreach Project Focused on NASA''s CERES Program",2000,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0072,"2000 200-city survey. Operational & clinical EMS trends in large, urban areas.",2001,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0073,ADVANCES IN LAND COVER CLASSIFICATION FOR APPLICATIONS RESEARCH : A CASE STUDY FROM THE MID-ATLANTIC RESAC,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0074,A Large-scale Unbiased Survey for Outflows in Molecular Clouds with Embedded IRAS Sources,2001,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0075,Analysis of a database of subsidence damage,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0076,An Analysis and Recommendations for Rural Public Transportation Systems in Alabama,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0077,A Sequence for Academic Writing,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0078,Astronomical Data Analysis Software and Systems X,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0079,A Web-based Database for Sharing Educational Multimedia within and among Medical Schools,2001,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='tutorial')",2026-07-05
CAND-0080,"Bioinformatic tools for DNA/protein sequence analysis, functional assignment of genes and protein classification",2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0081,Capabilities of the NASA/IPAC extragalactic database in the era of a global virtual observatory,2001,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0082,Comparison of Database Management Systems,2001,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0083,"Comparison of the RNA polymerase III transcription machinery in Schizosaccharomyces pombe, Saccharomyces cerevisiae and human.",2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0084,Computer graphics bibliograohic search on the Internet,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0085,Construction of a Full‐Text Database and Service System for Korean Electronic Theses and Dissertations,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0086,Development of Gridded Air Toxic Emission Inventories for California ’ s South Coast Air Basin,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0087,Effects Of Water In Synthetic Lubricant Systems And Clathrate Formation,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0088,FIA Estimation in the New Millennium,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0089,Giving Back to the Web: Social Filtering of World Wide Web Resources in High School Science,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0090,Historic building fire research database,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0091,"Integration of Computational Experience, Modeling, Optimal Design and Control for Chemical Engineering Processes",2001,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='systematic')",2026-07-05
CAND-0092,Mechanical verification of concurrency control and recovery protocols,2001,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='systematic')",2026-07-05
CAND-0093,On faint companions in the close environment of star-forming dwarf galaxies. Possible external star formation triggers?,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0094,Online Bibliographic Sources in Hydrology,2001,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0095,Panel data and policy analysis in South Africa: Taking a long view,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0096,"PERFORMANCE OF STRIP SEALS IN IOWA BRIDGES, PILOT STUDY",2001,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0097,Progress of the Research on Deep Geophysical Probing Database,2001,automation,advance,search-string,"matches canonical string (term='graph database', indicator='survey')",2026-07-05
CAND-0098,Querry Processing in Multidatabase Systems,2001,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='survey')",2026-07-05
CAND-0099,Racial and ethnic differences in parents' assessments of pediatric care in Medicaid managed care.,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0100,Regional Intermodal Freight Transport Flows and Projections,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0101,Report on DISC'00,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0102,Research Corner Evidence‐based PT Databases: The Next Step,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0103,Self-maintaining web pages: an overview,2001,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='overview')",2026-07-05
CAND-0104,SIGA: Introduction,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0105,Standard for multimedia databases,2001,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0106,Substation Training Simulation System,2001,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0107,Survey of Header Compression Techniques,2001,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0108,Technology and Productivity: Does It All Add Up?,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0109,The Bengal Database Replication System,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0110,The delivery of surgical cleft care in the United Kingdom.,2001,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0111,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map,2001,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0112,ABSTRACT: Geodatabase of the South Texas Uranium District,2002,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0113,A Catalog of H I-selected Galaxies from the South Celestial Cap Region of Sky,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0114,A Comparison of Distributed Database Design Models,2002,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0115,"Advances in Natural Language Processing: Third International Conference, PorTAL 2002, Faro, Portugal, June 23-26, 2002. Proceedings",2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0116,Analysis of Web-Based Information Architecture in a University Library: Navigating for Known Items,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0117,An evaluation of diabetic retinopathy screening models.,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0118,An optimal search strategy for mobile stations in wireless networks,2002,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0119,An overview of Pegasus,2002,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='overview')",2026-07-05
CAND-0120,An uncertainty model for Bayesian Monte Carlo retrieval algorithms: Application to the TRMM observing system,2002,automation,advance,search-string,"matches canonical string (term='cloud database', indicator='systematic')",2026-07-05
CAND-0121,Are we Training Canadian Pediatric Residents in Child Protection Issues,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0122,A scalable teleradiology information system,2002,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='state-of-the-art')",2026-07-05
CAND-0123,A survey on the Java-based approaches for Web database connectivity,2002,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='survey')",2026-07-05
CAND-0124,A Taxonomy of Indexing Schemes for Parallel Database Systems,2002,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0125,A very young star forming region detected by the ISOPHOT Serendipity Survey,2002,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0126,A VIRTUAL REALITY TOUR FOR ENVIROMENTAL STUDY,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0127,"CORBA, Web and databases",2002,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='tutorial')",2026-07-05
CAND-0128,Data and Transaction Management in a Mobile Environment,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0129,DATABASE MANAGEMENT FOR LARGE AND COMPLEX SURVEYS,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0130,DATABASE ON SALINITY PATTERNS IN FLORIDA BAY,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0131,Delivering drug services to Black and ethnic-minority communities,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0132,Development of a fault tolerant distributed database via inference,2002,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='overview')",2026-07-05
CAND-0133,Development of a network model for the total health care management on multi-vendor environment,2002,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='state-of-the-art')",2026-07-05
CAND-0134,Digital Surveying Archive and Old Maps,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0135,Distributed query evaluation on semistructured data,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0136,Does Counseling by Clinicians Improve Physical Activity? A Summary of the Evidence for the U.S. Preventive Services Task Force,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0137,Evolutionary Algorithms for Allocating Data in Distributed Database Systems,2002,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0138,ExploitingWeb Service Semantics: Taxonomies vs. Ontologies,2002,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0139,Federated Autonomous Databases: project overview,2002,automation,advance,search-string,"matches canonical string (term='autonomous database', indicator='overview')",2026-07-05
CAND-0140,Frequency Analysis of a Subset of Fundamental Mode RR Lyrae Stars from the MACHO Project Large Magellanic Cloud Database,2002,automation,advance,search-string,"matches canonical string (term='cloud database', indicator='survey')",2026-07-05
CAND-0141,Geodatabase of the South Texas Uranium District,2002,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0142,GIS-BASED SPACLAL GRAPH DATABASE AND ITS APPLICATION IN GEOLOGICAL STUDY,2002,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0143,Glazing technical data sheet,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0144,Ground-penetrating radar soil suitability map of the conterminous United States,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0145,HERPETOLOGICAL SURVEY OF SOUTHCENTRAL IDAHO,2002,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0146,Hierarchical test access architecture for embedded cores in an integrated circuit,2002,automation,advance,search-string,"matches canonical string (term='htap', indicator='systematic')",2026-07-05
CAND-0147,High technology small and medium sized enterprises (HTSMEs) : an assessment of the determinants of growth and constraints faced by HTSMEs in Malaysia,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0148,Information management in an enterprise-wide networked environment,2002,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='systematic')",2026-07-05
CAND-0149,Information systems for integrated manufacturing (INSIM),2002,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0150,Integrating semi-join-reducers into state-of-the-art query processors,2002,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='state-of-the-art')",2026-07-05
CAND-0151,Interactive exploration of distributed 3D databases over the Internet,2002,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0152,Learned Discourses: Timely Scientific Opinions,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0153,Load assignment for determining substation service areas with the aid of digital mapping,2002,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='state-of-the-art')",2026-07-05
CAND-0154,Maternal Mortality During Hospital Admission for Delivery: A Retrospective Analysis Using a State-Maintained Database,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0155,Mobile data and transaction management,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0156,Modern SCADA systems for oil pipelines,2002,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='overview')",2026-07-05
CAND-0157,Multicast routing infrastructure in ATM networks,2002,automation,exclude,search-string,no survey indicator in title+abstract,2026-07-05
CAND-0158,Near-Infrared Colors of Young Stellar Objects,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0159,Online Information in Astronomy -From networking to a virtual observatory,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0160,Operationalization of food consumption surveys in Europe: recommendations from the European Food Consumption Survey Methods (EFCOSUM) Project,2002,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0161,Parallel Mining of Outliers in Large Database,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0162,Patterns of oral care in dental school and general dental practice.,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0163,Plcs In The New Automation Laboratory,2002,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0164,Practice Committee of the Child Neurology Society Subcommittee of the American Academy of Neurology and the recurrent headaches : Report of the Quality Standards Practice parameter : Evaluation of children and adolescents with July,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0165,Preliminary results of an ILZRO-sponsored field-data collection and analysis to determine relationships between service conditions and reliability of VRLA batteries in stationary applications,2002,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0166,Printing E:\gis4\plots\emf\basemap4.emf,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0167,Scalability and resource usage of an OLAP benchmark on clusters of PCs,2002,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='systematic')",2026-07-05
CAND-0168,"Software Quality - ECSQ 2002: Quality Connection - 7th European Conference on Software Quality, Helsinki, Finland, June 9-13, 2002. Proceedings",2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0169,Suicide deaths and suicide attempts.,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0170,Summary Review of Data Sources for School to Work Transitions by Youth with Disabilities - Policy Brief,2002,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0171,Survival in trisomy 13 and trisomy 18 cases ascertained from population based registers,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0172,The 1000 Brightest HIPASS Galaxies: Newly Cataloged Galaxies,2002,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0173,The Bulletin's new look,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0174,The impact of tilting trains in Switzerland: a route choice model of regional- and long distance public transport trips,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0175,The SuperMacho+SuperNova Survey Database Design: Supporting Time Domain Analysis of GB to TB Astronomical Datasets,2002,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0176,The value of synovial fluid assays in the diagnosis of joint disease: a literature survey,2002,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0177,Three-question depression screener used for lumbar disc herniations and spinal stenosis.,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0178,"Use of Collocated KWAJEX Satellite, Aircraft, and Ground Measurements for Understanding Ambiguities in TRMM Radiometer Rain Profile Algorithm",2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0179,"Using GIS for forest recreation planning on the Longleaf Ridge Special Area of the Angelina National Forest, east Texas",2002,automation,exclude,search-string,no cloud-DB term in title+abstract,2026-07-05
CAND-0180,Variations in the orthotic management of cerebral palsy.,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0181,Web-based clinical quality assurance; a new paradigm in radiation oncology,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
CAND-0182,Webformulate,2002,automation,advance,search-string,"matches canonical string (term='distributed database', indicator='overview')",2026-07-05
CAND-0183,Work Team Management. The Challenge of an Endless Race,2002,automation,exclude,search-string,no cloud-DB term; no survey indicator in title+abstract,2026-07-05
